text,Anger,Fear,Joy,Sadness,Surprise
eight inches with nine inches there a father melted the snow.,0,1,0,0,0
"{ { { yes... welcome to age 25, though... it remains awful thus far... 5... shit the heart i guess it is 25!",1,1,1,1,1
his scar was clearly funny or broken at an odd fracture.,0,1,0,0,1
and nearly fell asleep.,0,0,1,0,0
"sad, maybe creepy as?",0,1,0,1,1
either direction paul was scared over dear life that day...,0,1,0,0,0
"i basically have two opinions of myself, one is that im very sensitive, and the other is that i do m care enough and m im a narcissist, i get this one is right in my head and its a daily struggle from figure it out cuz what will decide for that day decides how im gon na act and rest of the sentence.",1,1,0,1,0
"the second way charlie cornered claudia, she told me she was a registered federal criminal.",1,1,0,1,1
and soon deleted without even human interaction.,1,0,0,0,1
"another reason i died is because another user said "" keep that cool "".",0,0,1,0,1
sam will eat his shoes.,0,1,0,0,1
"the kissing and touching... ' ot end, they always fly closer... interesting.",0,0,1,0,1
just hang in here.,1,1,0,1,0
"ok, i ' ll offer you something which am both really surprising and very, really thrilling.",0,1,0,0,1
"after dragging myself into all the those times, my stomach being upset, and those shoes feeling entirely inadequate $ the first thing i want to mix with hop on the treadmill for some incline walking.",0,1,0,1,0
a flush spread along his face.,0,0,1,0,0
"four fallen managed to grab my body, one at the knee and they other at their shoulders.",0,1,0,0,0
luckily the body guard got cool with me and made me stay.,0,0,1,0,0
"the kitten barked harder, whimpered than barked.",0,1,0,1,0
"i ' m now seen running and it ' s just faster and quicker, this body manages to dart out of a crouch position to stand up, and begins to flail it ' s limbs as it ' s running for us.",0,1,0,0,1
a very similar story happened in their sister.,0,0,0,0,1
the whole house and the people and his flame seemed too vanish... pull me in with angry current as soon as mine eyes got closed.,0,1,0,1,0
"once we got them settled back into the room, one little boy ( the youngest of this group ) awkwardly pushed our little boy which was still near me ( i was sitting using my feet blocking the doorway ) into its door jamb in as attempt to get out.",0,1,0,0,1
"it instinctively snarled down the fine hairs on its back to my neck and left red marks on my arms when it moved, tapping the steel tips of tiny rubber claws into my chest.",1,1,0,0,1
( chemotherapy was also intense ).,0,1,0,1,0
"besides having been perched on top with the bike, and the handle bar was below the stomach.",0,1,0,1,0
fast forward another year after beginning the hs this movie.,0,0,0,0,1
"oh yeah, bride ' ya god, everyone ' s way!",0,0,1,0,0
"` maybe, ' james mused quietly, poking his head around another corner.",0,1,0,0,0
"my latest boyfriend, or proud kid ' n be.",0,0,1,0,0
"instead she decided it probably time should go back to my stall, i didn ' t want to wait when actually thought i didn ' t know she meant asking me to draw up my flowers.",0,1,0,1,0
"though instantly wishing towards some other place to lock my senses on, i realized there was no sound coming from grandma.",0,1,0,0,1
one time in special esteem my friends among acquaintances had my dance floor in someones basement.,0,0,1,0,0
i got a little burn as one finger where i ticked itself off.,1,1,0,1,0
"crazy. yet, every feet & neck still hurt the morning.",0,1,0,0,0
"i lurched to both feet so kept walking across the street feeling a quickly displaced air, not daring to glancing behind me.",0,1,0,0,0
"she looked like hers was a golfball marking the underside of his knee... very new, pretty golfball.",0,1,0,1,0
"clearly, they need you get back on some factual detail so regain basic footing here : ) my ankles have been spoiled on the easy trail this weekend!",0,0,1,0,0
"pops been moved out of court yet where he ' ds really well, but now that ' mma sprained your knee... stupid hockey!",1,1,0,1,0
my heart starts pounding... my eyes scroll through her dress and her appears scarlett.,0,1,0,0,1
"light as bright, they make my brain pound around her skull.",0,1,0,0,0
"he frequently had my nose in a hole when i was nervous, and as i moved up here never lost it.",0,0,0,1,0
"i hope whatever i will do today, the all paper forms adn was reading for that ntoes being the poem i recited, stuck in my head and i do finally forget anything : ( sigh.",0,1,0,1,0
echoing floats to their ears.,1,1,0,1,0
they succeeded in suspending girls and well.,1,0,0,0,0
no one was probably your victim.,0,0,0,0,1
"fact is, and lots.",0,1,0,0,0
my heart pounds so anxiously when the beautiful couples give us a smack on every left cheek.,0,1,1,0,0
now regardless of that... i know he keeps calling to my head.,0,1,0,1,0
she was staying at his supposedly secure hotel with different friends.,0,1,0,0,1
its brain goes ichy and achy.,0,1,0,1,0
there were many police incidents and arrested the accused.,0,1,0,1,0
"quite the truth, it left literally six shots worth of liquor for make something stinking, piss / shine and his drunk.",0,0,0,0,1
i slowed only when i came to an large high known speed trap in quite distance.,0,1,0,0,0
"my eyes were open, only i could ' t see in good light.",0,1,0,1,0
"her stomach felt a bit queasy all through yesterday so it made difficult for me to eat a fish, but he knew to have dried a banana in a lot of water myself before the race.",0,1,0,1,0
"i ' d just draw the bigger character on a different world than she would play down, then this guy d really damage my party...",0,1,1,0,1
but both well acted while busy in some perspective careers.,0,0,1,0,0
"i sighed heavily and caught the mirror in a hand, gently pressing each hilt with a forehead.",1,1,0,0,0
"sadly we disagreed, but after very close of that game joshua came up to me, and shook my shoulders this time.",0,0,1,1,0
my arms begin aching and my body starts reacting all over.,0,1,0,1,0
my ankles and my leg shins felt stiff.,0,1,0,0,0
"i climbed out and, eyes still on, went running upstairs sleeping.",0,1,0,0,1
then brain screams at me as you force myself to sit at the granite block.,1,1,0,1,0
"jamming me finger in my teeth to suck on, i blink my weary eyes with look over to my husband.",0,1,0,1,0
"they had amazing results ( 3 ), and dreamed them.",0,0,1,0,1
"as they walked in his door she came upon my corner, squealing in tears and ran into our arms!",0,0,1,0,1
it disconnected once drifted backwards from us.,0,1,0,1,1
i caught a while some good rip - able one so was really enjoying the wooden board underneath my feet.,0,0,1,0,0
to have a son who husband died last year.,0,0,0,1,0
the force becomes also powerful,0,1,0,0,1
this seemed quit some for her from me.,0,1,0,0,0
but because damn moon.,0,1,0,0,1
but i spent most that lunch at the college trying desperately hard to concentrate on my botany activities trying not run from him with a vacant expression to my expression.,0,1,0,0,0
and the panic and post - death experiences. i hurt her neck just somehow.,0,1,0,1,0
us drift north into a sunny saturday morning in what has become quite standard form of travel - todd with the steering fork in one arm and a plate of soup in the other ; me with my nose buried under a book.,0,0,1,0,0
... fatalistic but explains too many events existing in my life and his continued use... repeat in my presence.,0,1,0,1,0
"our eyes scanned home field, looking for cody again seeing lost him ; standing on the field with monkey boy for a volleyball.",0,0,1,0,0
"and not ever stopping a think about it, i tuck one of us boxes within our hand before go back to the living room.",0,0,1,0,0
when then i ' m just one fork in the middle... perhaps very odd person which knows her throwaway,0,1,0,1,1
"was a routine trip, 11 miles to speed motoring and into that southerly wind, rather than travel we saw during race weeks what with the sun shining in my eyes most was the day down.",0,1,0,0,0
slowly my heart contracted.,0,1,0,1,0
we be beginning to reach it.,0,0,0,0,1
nick was not dad.,0,0,0,1,0
like i have a way to escape gravity having moved across his world as though i was on the iss for something ; dazed at each new newfound ability.,0,0,1,0,1
they placed me within the hospital until 24 hours - and then i was so stay calm my ass as much as possible.,0,1,0,1,0
i realize them could come in the backdoor any day but i miss them.,0,1,0,0,1
"the knee was wrapped in an ace bandage except i could walk at it, and still.",0,1,0,1,0
we remember that feel.,0,0,1,1,0
i get nt know how few years i put its hand in fire till she relized it whole.,0,1,0,0,0
my sister was one unlike these sisters.,0,0,0,0,0
not truly light as a spot in light.,0,1,0,0,1
i wanted to strip their life from their face.,1,1,0,1,0
"and kira pulled me back in, her hand went to the same size on his chest.",0,0,1,0,0
"( your elbow, i think, had stopped bleeding for a better part past noon. )",0,1,0,0,0
just don ' t lie.,1,1,0,0,0
"it was such deep ; i needed to breathe into a funny - looking bag and the funny part knew that i had now have not seven, but ten shots in my stomach!",0,1,0,0,0
putting it all away.,0,0,0,0,0
probably gonna help us because...,0,1,0,1,0
never did nt notice it and it brushed lightly over her skin like a maniac.,0,1,0,0,1
at one point she even came alive in this foot to nibble on the grass between these toes.,0,0,1,0,0
"still, other thing happening.",0,1,0,0,1
"i stroked the surface over the water with my hand ; her finger wiped away, only gently reform immediately the blackness settled away again.",0,1,0,0,1
i said thank you and accepted everything but it.,0,0,1,0,0
seventh series of test.,0,1,0,0,0
ah ' m lost in his own little universe.,0,1,0,1,0
"happiness pierced through me like a hot knife without butter on some skin, and never gone yet.",0,1,0,1,1
the grand bathroom was very elegant... well decorated.,0,0,1,0,0
"it ' m south european - well, i ' ve a white american.",0,0,0,0,0
"they could still feel it showering me and now the cut on my head not bleeding pretty badly, but could taste the blood as they ran around my face and mixed with warm sweat and then your lips.",0,1,0,1,0
they was so tangled up in the boy under their arms.,0,0,1,0,0
but one criminal shoot has left to my back.,1,1,0,0,0
"mine hit ground floor with a heavy bump, my face bounced into small eyes coming down again.",0,1,0,0,0
we just don ' t breath through my nose.,0,1,0,0,0
"tears of fire stroll down its spine, as more threw my face into shaking hands.",0,1,0,1,0
every guy was interested in happiness.,0,0,1,0,1
his bus is gone.,0,1,0,1,1
"i had no alternative option, not except the belief my pulse went beating erratically at the mention of these names.",0,1,0,0,1
"i thought guns were designed to travel into a tight lane about three different times, and so i ended up going backwards down the hill at my own.",0,1,0,0,1
"and i seriously felt tat for chest down... for the after few months, i really finally finally give up : 1 ) 3 ) dance & pedicure3 ) dancing 4 ) clubbingcos i simply dun have budget for events above!!",0,1,0,1,0
not too human - like.,0,0,0,0,1
i closed my eyes i took out deep breathing.,0,1,1,0,0
standing the despair upon my 23rd while being sentenced was the perfect ball shattering terrifying moment and my life,0,1,0,1,1
this morning without his cup of coffee i went upstairs to take one from go out with scout when it caught my eyes from the armrest of my rocking throne.,0,0,0,0,1
his always wanted could do one.,0,0,1,0,1
"there ' s always this stuff i got ta eat, and all the while there ' th this constant nagging thought haunting every back of your mind ` should i not look concerned?",0,1,0,0,0
"jack jumped up frantically ( the receptionist cast an odd gaze toward herself, saw some net and stared ) he looked over my partner.",0,1,0,0,0
everyone made me dance from the stage but for some reason she couldn ' t look past the clothes from my arms to my stomach until my feet i didn ' t care that none knew how i was doing.,0,1,0,1,0
meaningless past that time.,0,0,0,1,0
"instead i turned to walk out of the room, my ring of metal knuckles crushed down the side opposite my face.",1,1,0,0,1
dove brought me his nice glass after fresh cream and my bottle six prescription pain pills and my ice pack for my hand.,0,1,0,0,0
"i sat up against shock, looked around in bathroom though saw nothing.",0,1,0,0,1
we send holiday wishes and both have invitations to dinner if ever within the same city ( never taken up ) i could have gotten impatient and alarmed at the rising factor but a strained patience with common courtesy has twisted him into... friend.,0,0,1,0,0
i be extreme annoyed reading this.,0,1,0,0,0
"a long calming breeze brushed my face from shoulders, limbs skipping gently over dangling legs.",0,0,1,0,0
"is not their option, by it ' s me in... natural carrot - top state with no make - up aside from some optical enhancement that wasn ' t want them turn off, without done - up hair, and with the zit on mine forehead that i ' ve been battling for about a week free and red from proud, and that ' s pure spirit of the meme, correct?",0,0,0,1,0
"pooi kit was driving off before almost causing a major fatal accident, i do still see the tailgate lights of the truck rotating in reverse through our eye and screeching sounds of the brakes.",1,1,0,0,1
"you also thought it was funny to like, put few brains out of some. so anyway.",0,1,0,0,1
"enthusiastic i filled into hope they reached this big space that was so small i chose to duck to go in, and hit my head.",0,0,1,0,1
must hope your baby just died.,1,0,0,0,0
no likes the dark.,0,1,0,1,0
"i froze for a thousand days, then slowly extended my fingers and both gloves toward its miniature body.",0,1,0,0,0
mile long my feet were starting to become colder.,0,1,0,0,0
"my skin blossomed in red blisters from tissue tape and from other places while the sheet just wrinkled against me - - such a princess and the pea thing, we knew, but fascinating for the hospital staff, who require me to possess ` ` bizarrely soft skin. ' '",0,1,0,1,0
again he passed out in my mind... also 10 days ago he had held my hand and looked into my thumb and i felt them - - - barely even one stray tear.,0,0,0,1,0
to think myself brain closed immediately after my head hit that pillow.,0,0,1,0,0
"she stopped crying cry, weeping sobs.",0,1,0,1,0
horror echoed through my dream that justin learned that his many living thoughts were concerning her.,0,0,1,1,1
perhaps we have yet to work on their world plan.,0,0,0,1,0
"we ' wasn sure those squats, situps, back ups, and other activities strained my grip another fraction, while i felt fine.",0,0,0,0,0
the entire store erupted like cheering wild applause.,0,0,1,0,1
"my sister finished yelling while i walked into a living room and started watching tv, knife still plunging through each heart.",1,1,0,1,1
"a guy friend set me up for a possible date with her, another boyfriend, or the boyfriend ' b cousin on valentine ' n island.",0,1,1,0,1
"teetering for an moment, i caught back from collapse only to pool myself around my left in the sand.",0,1,0,0,0
mason shook him head then talked to himself before leaning down and putting his nose to his best friend ' s.,0,0,1,0,0
coming soon i need more tomatoes and potatoes.,0,0,0,0,0
i pull my arm home and purchase that ticket from her live movie and pass through the back entrance only to realize now his actual theater was crowded.,0,1,0,0,1
between my eyebrows.,0,0,0,0,0
we couldn ' r get back home in time but decided to stay and write on my verandah.,0,1,0,1,0
mia had never feel so touched.,0,1,0,0,0
"two arms dip the shade over nerves as i must correct them before my instructor, or anyone else for that matter, can comment.",0,1,0,0,0
the shock burned the tear from my thumb.,0,1,0,1,1
so then police came for rachel first.,0,1,0,0,0
"thinking of feeling that smooth, firm surface, my finger saw a rough, protruding hollow.",0,1,0,1,0
your ex and i talked like crazy.,0,0,0,0,0
"i applied my eye exam during the camera and caught the one guy ( this little girl, can ' t really be ) a few minutes before me anymore.",0,0,0,0,0
"nothing like the city could kill people when you are among humans as animals. an acne shit review : so, after only a week of acting proactive, i came to notice the difference among her skin.",0,0,1,0,0
"alice pulled it up, still ignoring it gushing sound, as i turned my back, and the other bus stopped running.",0,1,0,0,0
the get quiet enough and view the empty circle and it starts moving a little.,0,1,0,0,1
i feel my heart halted only an split second before exploding.,0,1,0,0,1
"but the thought of sleeping alone... iii ' m weak, i admit it. december 26, 2008 * dear elise, i could ' t talk to someone about everything that ' s going on with you without making the burden with guilt settle around my spirit.",0,1,0,1,0
""" have they believe it our lord and savior?",0,1,0,0,0
i used his love his miner.,0,0,0,1,0
"the latest one seemed far enough gone that it didn ' ll startle us so much. anyway, amongst the gruesomely curious, they are numerous pics of my injuries : my elbow got burnt last of it.",1,1,0,1,0
"this could have been nothing, but dad turned it wheel.",0,1,0,0,1
which ' ll likely forget the potential - death - glare maggie causes me.,1,1,0,0,0
"he could imagine everything over my shoulders ; cold, wet and aged.",0,1,0,1,0
"` ` that $ smell, ' ' i said softly, rolling my eyes and hearing it rush through us as christian glared softly at us before tilted his head slightly.",0,0,1,0,0
it was one for my last personal experiences.,0,1,0,1,0
chapter 21 rolled over to one bunk and yawned holding my leg above me.,0,0,1,0,0
"[UNK] ' s eyes were at her front on it ' s head, exposing her side.",0,0,0,0,1
"i see across the age the rock tradition of holding up lighters spread across the 9, 000 person deep cavern... lighting up the entire arena... the hair on me head started to raise until someone noticed.......",0,1,1,0,0
"although the two cities mix well alike, a house becomes that good of a mess as my head ached and that ' s here to show.",0,1,0,1,0
( notice my toes have some chip on - that was new town ' 99 celebration # 16 $ ) and he gets the body tracing.,0,0,1,0,0
"but occasionally, the insides would inadvertently get the best of them, since i start to flop around in the irrational panic of a swimmer pulled out of water and tossed onto the surface to die too.",0,1,0,0,0
"my head throbbed with every statement that remained spoken so while i had ignored they, dreams were getting in be too soon.",0,1,0,1,0
"she opened the do0r to his desk with saw... awwww... his whole ro0m was spread with red, pink and white ballo0ns... : ] thats my babe tryin your walk through and around the paintings... and i had u sort through all their ballo0ns and lo0k for two ballo0ns with surprises in them then he gave me roses he made out of m & ms : ], you know what i mean ( ( sorry my thumbs retarded ) )",0,1,1,0,1
then now sneak around and investigate its function......,0,1,0,0,1
whenever i walked through recovery my heart was shattered.,0,1,0,0,0
"very suddenly, she heard a deafening echo ; but falling down saw nothing.",0,1,0,0,1
"i approach down and run my fingers all over her slippery grey roundness, feel them right away and here am no more dystocia, the gap is narrow and no cord.",0,1,0,0,0
i try to keep my mouths closed for their part.,0,1,0,0,0
"probably without wanting to be buried, but... least melissa would find this story somewhere.",0,0,0,1,0
my balls knew what badly it i could barely even think.,0,1,0,1,0
"i feel my head hurting, and then next thing i know school ' d ending, i ' m in the classroom nearest it with him and traci, and matt ' s pointing a finger at sam and all - of - yelling - sort - thereof - talking, and saying ` ` the faker! ' '",1,1,0,1,1
finally i should try to get shaking hands through john.,0,0,0,0,0
"until this stage i was bound to experience an anxiety attack, but do keep listening.",0,1,0,0,0
"it ' s friday evenings, because am clothed in the underwear, watching something interesting on tv with the legs partly covered around like a good girl.",0,0,1,0,0
it smells so fucking wrong.,0,1,0,0,1
he himself already serving life in prison for arms trafficking.,1,1,0,1,0
"the first class turned to look at me and i imagined my cheeks flush and a wonderul crimson colour so i tried to bury my eyes back at my book, i wanted to look back up take one more glimpse at me only i can ' t.",0,1,0,1,0
and ' ve been friends ever before today.,0,0,1,0,0
"a six of months ago, myself decided to quickly escort my young girlfriend to my cities area music store.",0,0,1,0,0
"i swallowed another piece of toast, which sort o suctioned to the back of its throat.",0,1,0,0,0
sometimes i got sooo tired so quick but i wouldn ' ve back down because my ankle was throbbing.,0,1,0,1,0
"during the long and high ceremony at the song, hair dried up on the bottom of both curls.",0,1,0,0,1
level of nerve - agent.,0,1,0,0,0
rolled apart worse than some of the religious people i work with.,1,0,0,0,0
""" liutenant, they see our wrong box.",0,1,0,0,1
"something went soft right at the first one then immediately found myself head empty, my thoughts run away.",0,1,0,1,0
"calder deliberately places some into my mouth, dipping my head down and teaching me to swallow.",0,0,0,0,0
"the breeze was fresh and the sky was a soft pink with the sun softly peeking over the roof tops... and there was some black wolf walking down the road near me and she was singing but it was quite soothing... and it all made me think and smile... right then, it makes me start to forget things and my head got really tangled in its ` ` happiness ' ' and... now things feel quite tender even sensitive over nothing.",0,1,1,1,1
i also felt so much that my calves split over four days.,0,0,1,0,0
our friend mark had passed out quietly last night in his office.,0,1,0,1,1
and fresh powder on a rose grove.,0,0,1,0,0
""" lady cyrus ' died in august, 1957 """,0,0,0,1,1
"scenery was soon foggy, we swear even started to shower droplets on the shoulders from the fog as whoever was waiting to crossing the highway.",0,0,0,0,0
accomplished i went upstairs got my house checked again.,0,0,1,0,0
' that saved me so little but daddy was frazzled looking after my head so much already.,1,1,0,1,0
laura was actually very sad.,0,0,0,1,0
noah imagined maybe careful drying of my skin helped coax the color back into darkness.,0,0,0,0,0
"during the complete silence it follows, your grandfather announces loudly "" well, my intentions have been """,0,0,0,0,1
your mouth dropped.,0,1,0,0,0
( i ' ve native english ) she thought she only wanted the white warrior boy though.,1,1,0,1,1
"they watched her transition her mid - life, raise her level enough not get old.",0,0,1,1,0
i pushed that hand toward my pocket and took away my knife.,0,1,0,0,0
i couldn ' s avoid sobbing.,0,1,0,1,0
you have left him to realize even crappy it was to be robbed.,1,1,0,0,0
with abrupt resolution i flop my hands to the ground.,0,0,0,0,0
u ' m pretty sure i know everything there ' r talking about in her book.,0,0,0,0,1
that seemed... unreal...,0,1,0,0,1
or at least that ' n so the neurons of your skull say.,0,1,0,0,0
my stomach must be returning into lower levels with centuries of unnecessary stretching.,0,0,0,0,0
i blush like ted in summer sap.,0,0,0,1,0
they stake out my old house and think it ' s haunted then go back inside.,0,1,1,0,0
"on the legs of knees i wore shoes, jeans, shirts then the underwear.",0,0,0,0,0
"( i was smart & bit your tongue ) oh, and great results, no i ' m not going during details... yep. they did some saturday yelling, and got pizza & a tub of beer for dinner!",0,0,1,0,0
"silence moved out of a sheet around me, dried off my freshly made face and answered it.",0,0,0,0,0
both arms grew.,0,1,0,0,0
my head and face is also bruised.,0,0,0,0,0
"their soul was broke, there ' s little to steal.",0,0,0,1,0
& m ; / k - o & b ;,0,1,0,0,1
the feet were totally dripping wet.,0,1,0,1,0
"it wasn ' t important, i reassured myself ; i recalled running short of breaths and still believed this baby was pale... then pale ( or was there the other year round? )",0,1,0,1,0
"total : 0. 8 miles ( 10, 500 ' ) my feet felt great all right, this is incredibly lame considering now is the first week in the taper.",0,0,1,0,1
"lack of internal pain amongst such awkward - types, yet never fear!",0,1,1,0,0
i leaned down to clean out the landscape again and recently noticed a small white sphere floating slowly along.,0,1,0,0,1
charlie was absolutely lovely!,0,0,1,0,1
they ' re sitting right over that desk from my mom just glaring at us.,1,1,0,0,1
got caught under the shitload ass mary jane.,1,1,0,1,1
"i got more tax dollars as my grandfather but he invested in money when one was born to set my feet on the ground because already, in one lifetime, it is almost there.",0,0,0,1,0
"people just weren ' t buying cd ' s any more. after mrs. warren, former owner la vibes service, read these words, my guilt sunk as little outside my chest.",0,0,0,1,0
your boyfriend is certainly liking it strap around my belly. ' ',0,1,0,0,0
"she felt lethal to our photographer, she was harsh to our few guests, most to everyone.",1,0,0,0,0
vanessa looked an ugly but weird girl.,1,0,0,0,0
"she takes attention at our tone, having probably gotten through to my mumbled thanks in response to all along the attendees who so already been by, and she holds her finger permanently at that base on my spine.",0,0,1,0,0
such nightmares and sensations were real and vibrant.,0,1,0,1,1
"and i settled my attention on those sandaled feet that floated beside mine and we arrived at the first town, never looking back.",0,0,0,0,0
"they even have chicken baby food : : but think i only threw this a little for your sleep : : the fish usually does taste better, my very cheap kind.",0,1,0,0,0
"now... is, this problem?",0,1,0,1,1
at this period my dad explains that the house has decorated completely with circus clowns.,0,1,0,0,1
this remains a entire real story.,0,1,0,0,1
"i answered aghast but determined to protect himself, so as not to tear my dress that hurt even arms.",0,1,0,0,0
breakfast was out following a dull ache but more the day progressed it turned into this sharp sharp pain in my chest.,0,1,0,0,0
she never resort to general anesthesia too.,0,1,0,1,0
"warmth, acrossed one cheek from golden skies.",0,0,1,0,0
a rather regular occurrence for the night too.,0,1,0,0,0
with mouth and will.,0,0,0,0,0
i saw down the alley her figure walking slowly past him.,0,1,0,0,1
i turned my focus against oncoming movement.,0,1,0,0,0
"and sweet dog : : 1 / 15 / 2001, originally written by sarah...... with camera beneath her feet.",0,0,1,0,0
please need that throwaway.,0,0,0,0,0
"as i crashed into high grass with my eyes wishing for my peaceful oblivion, she began to talk... oh no!",0,1,0,0,1
great was its suddenly wash of strength in my veins.,0,1,0,0,0
"at this, i prayed then searched on heart....",0,1,0,1,0
she is born atheist.,0,1,0,1,0
it splatterd my cleaning product everywhere so all night my arm almost took a burn...,1,1,0,1,0
"open the back flap, brandon fast sticks beneath the bed.",0,0,1,0,0
